question_id,model_name,avg_score,question
139,llama4,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
140,llama4,0.829,ADDITIONAL FINDINGS
141,llama4,0.697,SPECIMEN LATERALITY
142,llama4,0.838,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
143,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
144,llama4,0.877,REGIONAL LYMPH NODE STATUS
145,llama4,0.81,NODAL SITE(S) EXAMINED
146,llama4,0.787,TUMOR SITE
147,llama4,0.778,VISCERAL PLEURA INVASION
148,llama4,0.706,HISTOLOGIC GRADE
149,llama4,0.697,SPECIMEN LATERALITY
150,llama4,0.741,NODAL SITE(S) EXAMINED
151,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
152,llama4,0.733,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
153,llama4,0.865,TUMOR SITE
154,llama4,0.863,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
155,llama4,0.811,TUMOR FOCALITY
156,llama4,0.729,ADDITIONAL FINDINGS
157,llama4,0.877,REGIONAL LYMPH NODE STATUS
158,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
159,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
160,llama4,0.83,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
161,llama4,0.694,NUMBER OF LYMPH NODES EXAMINED
162,llama4,0.778,VISCERAL PLEURA INVASION
163,llama4,0.788,PROCEDURE
164,llama4,0.781,TUMOR SITE
165,llama4,0.716,LYMPHOVASCULAR INVASION
166,llama4,0.698,SPECIMEN LATERALITY
167,llama4,0.829,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
168,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
169,llama4,0.856,REGIONAL LYMPH NODE STATUS
170,llama4,0.817,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
171,llama4,0.695,TNM DESCRIPTORS
172,llama4,0.715,NUMBER OF LYMPH NODES WITH TUMOR
173,llama4,0.716,ADDITIONAL FINDINGS
174,llama4,0.797,HISTOLOGIC GRADE
175,llama4,0.757,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
176,llama4,0.778,VISCERAL PLEURA INVASION
177,llama4,0.799,NODAL SITE(S) WITH TUMOR
178,llama4,0.757,NODAL SITE(S) EXAMINED
179,llama4,0.718,SPREAD THROUGH AIR SPACES (STAS)
180,llama4,0.761,MARGIN STATUS FOR INVASIVE CARCINOMA
181,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
182,llama4,0.788,PROCEDURE
183,llama4,0.811,TUMOR FOCALITY
184,llama4,0.738,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
185,llama4,0.827,PROCEDURE
186,llama4,0.648,TNM DESCRIPTORS
187,llama4,0.778,VISCERAL PLEURA INVASION
188,llama4,0.697,SPECIMEN LATERALITY
189,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
190,llama4,0.756,MARGIN STATUS FOR INVASIVE CARCINOMA
191,llama4,0.773,TUMOR SITE
192,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
193,llama4,0.693,HISTOLOGIC GRADE
194,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
195,llama4,0.832,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
196,llama4,0.833,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
197,llama4,0.8,HISTOLOGIC GRADE
198,llama4,0.697,SPECIMEN LATERALITY
199,llama4,0.826,MARGIN STATUS FOR NON-INVASIVE TUMOR
200,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
201,llama4,0.89,TUMOR SITE
202,llama4,0.775,NODAL SITE(S) EXAMINED
203,llama4,0.811,TUMOR FOCALITY
204,llama4,0.877,REGIONAL LYMPH NODE STATUS
205,llama4,0.713,NUMBER OF LYMPH NODES EXAMINED
206,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
207,llama4,0.827,PROCEDURE
208,llama4,0.837,ADDITIONAL FINDINGS
209,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
210,llama4,0.778,VISCERAL PLEURA INVASION
211,llama4,0.797,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
212,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
213,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
214,llama4,0.811,TUMOR FOCALITY
215,llama4,0.803,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
216,llama4,0.697,NUMBER OF LYMPH NODES EXAMINED
217,llama4,0.826,NODAL SITE(S) EXAMINED
218,llama4,0.8,HISTOLOGIC GRADE
219,llama4,0.697,SPECIMEN LATERALITY
220,llama4,0.819,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
221,llama4,0.778,VISCERAL PLEURA INVASION
222,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
223,llama4,0.827,PROCEDURE
224,llama4,0.77,MARGIN STATUS FOR INVASIVE CARCINOMA
225,llama4,0.877,REGIONAL LYMPH NODE STATUS
226,llama4,0.887,TUMOR SITE
227,llama4,0.788,PROCEDURE
228,llama4,0.713,NUMBER OF LYMPH NODES EXAMINED
229,llama4,0.739,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
230,llama4,0.778,VISCERAL PLEURA INVASION
231,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
232,llama4,0.802,TUMOR SITE
233,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
234,llama4,0.757,LYMPH NODE(S) FROM PRIOR PROCEDURES
235,llama4,0.811,TUMOR FOCALITY
236,llama4,0.8,HISTOLOGIC GRADE
237,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
238,llama4,0.805,NODAL SITE(S) EXAMINED
239,llama4,0.697,SPECIMEN LATERALITY
240,llama4,0.695,ADDITIONAL FINDINGS
241,llama4,0.802,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
242,llama4,0.877,REGIONAL LYMPH NODE STATUS
243,llama4,0.738,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
244,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
245,llama4,0.811,TUMOR FOCALITY
246,llama4,0.859,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
247,llama4,0.778,VISCERAL PLEURA INVASION
248,llama4,0.725,NODAL SITE(S) EXAMINED
249,llama4,0.877,REGIONAL LYMPH NODE STATUS
250,llama4,0.89,TUMOR SITE
251,llama4,0.761,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
252,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
253,llama4,0.837,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
254,llama4,0.778,HISTOLOGIC GRADE
255,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
256,llama4,0.697,SPECIMEN LATERALITY
257,llama4,0.788,PROCEDURE
258,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
259,llama4,0.697,NUMBER OF LYMPH NODES EXAMINED
260,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
261,llama4,0.691,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
262,llama4,0.811,TUMOR FOCALITY
263,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
264,llama4,0.697,SPECIMEN LATERALITY
265,llama4,0.78,VISCERAL PLEURA INVASION
266,llama4,0.819,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
267,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
268,llama4,0.718,SPREAD THROUGH AIR SPACES (STAS)
269,llama4,0.749,PROCEDURE
270,llama4,0.687,LYMPHOVASCULAR INVASION
271,llama4,0.89,TUMOR SITE
272,llama4,0.785,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
273,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
274,llama4,0.72,NUMBER OF LYMPH NODES WITH TUMOR
275,llama4,0.797,HISTOLOGIC GRADE
276,llama4,0.73,REGIONAL LYMPH NODE STATUS
277,llama4,0.698,VISCERAL PLEURA INVASION
278,llama4,0.686,NODAL SITE(S) EXAMINED
279,llama4,0.796,REGIONAL LYMPH NODE STATUS
280,llama4,0.741,NODAL SITE(S) WITH TUMOR
281,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
282,llama4,0.877,REGIONAL LYMPH NODE STATUS
283,llama4,0.73,NUMBER OF LYMPH NODES EXAMINED
284,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
285,llama4,0.722,NUMBER OF LYMPH NODES EXAMINED
286,llama4,0.837,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
287,llama4,0.817,PROCEDURE
288,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
289,llama4,0.731,LYMPHOVASCULAR INVASION
290,llama4,0.711,NODAL SITE(S) EXAMINED
291,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
292,llama4,0.746,TUMOR SITE
293,llama4,0.698,VISCERAL PLEURA INVASION
294,llama4,0.86,PROCEDURE
295,llama4,0.718,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
296,llama4,0.822,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
297,llama4,0.697,SPECIMEN LATERALITY
298,llama4,0.811,TUMOR FOCALITY
299,llama4,0.752,MARGIN STATUS FOR INVASIVE CARCINOMA
300,llama4,0.78,VISCERAL PLEURA INVASION
301,llama4,0.734,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
302,llama4,0.827,PROCEDURE
303,llama4,0.697,SPECIMEN LATERALITY
304,llama4,0.715,ADDITIONAL FINDINGS
305,llama4,0.874,REGIONAL LYMPH NODE STATUS
306,llama4,0.811,TUMOR FOCALITY
307,llama4,0.778,HISTOLOGIC GRADE
308,llama4,0.717,NODAL SITE(S) EXAMINED
309,llama4,0.819,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
310,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
311,llama4,0.826,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
312,llama4,0.89,TUMOR SITE
313,llama4,0.811,TUMOR FOCALITY
314,llama4,0.877,REGIONAL LYMPH NODE STATUS
315,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
316,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
317,llama4,0.826,NODAL SITE(S) EXAMINED
318,llama4,0.89,TUMOR SITE
319,llama4,0.896,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
320,llama4,0.756,PROCEDURE
321,llama4,0.697,SPECIMEN LATERALITY
322,llama4,0.802,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
323,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
324,llama4,0.797,HISTOLOGIC GRADE
325,llama4,0.778,VISCERAL PLEURA INVASION
326,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
327,llama4,0.797,HISTOLOGIC GRADE
328,llama4,0.721,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
329,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
330,llama4,0.712,PROCEDURE
331,llama4,0.811,TUMOR FOCALITY
332,llama4,0.697,SPECIMEN LATERALITY
333,llama4,0.877,REGIONAL LYMPH NODE STATUS
334,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
335,llama4,0.778,VISCERAL PLEURA INVASION
336,llama4,0.805,NODAL SITE(S) EXAMINED
337,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
338,llama4,0.829,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
339,llama4,0.872,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
340,llama4,0.89,TUMOR SITE
341,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
342,llama4,0.697,SPECIMEN LATERALITY
343,llama4,0.89,TUMOR SITE
344,llama4,0.82,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
345,llama4,0.778,VISCERAL PLEURA INVASION
346,llama4,0.837,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
347,llama4,0.721,ADDITIONAL FINDINGS
348,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
349,llama4,0.874,REGIONAL LYMPH NODE STATUS
350,llama4,0.811,TUMOR FOCALITY
351,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
352,llama4,0.827,PROCEDURE
353,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
354,llama4,0.741,NODAL SITE(S) EXAMINED
355,llama4,0.797,HISTOLOGIC GRADE
356,llama4,0.699,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
357,llama4,0.811,TUMOR FOCALITY
358,llama4,0.838,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
359,llama4,0.698,SPECIMEN LATERALITY
360,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
361,llama4,0.877,REGIONAL LYMPH NODE STATUS
362,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
363,llama4,0.778,SPREAD THROUGH AIR SPACES (STAS)
364,llama4,0.704,NUMBER OF LYMPH NODES EXAMINED
365,llama4,0.77,PROCEDURE
366,llama4,0.756,NODAL SITE(S) EXAMINED
367,llama4,0.833,TUMOR SITE
368,llama4,0.778,VISCERAL PLEURA INVASION
369,llama4,0.824,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
370,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
371,llama4,0.796,PROCEDURE
372,llama4,0.877,REGIONAL LYMPH NODE STATUS
373,llama4,0.698,SPECIMEN LATERALITY
374,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
375,llama4,0.83,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
376,llama4,0.763,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
377,llama4,0.697,NUMBER OF LYMPH NODES EXAMINED
378,llama4,0.811,TUMOR FOCALITY
379,llama4,0.742,MARGIN STATUS FOR INVASIVE CARCINOMA
380,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
381,llama4,0.778,VISCERAL PLEURA INVASION
382,llama4,0.797,HISTOLOGIC GRADE
383,llama4,0.881,TUMOR SITE
384,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
385,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
386,llama4,0.697,SPECIMEN LATERALITY
387,llama4,0.771,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
388,llama4,0.778,VISCERAL PLEURA INVASION
389,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
390,llama4,0.877,REGIONAL LYMPH NODE STATUS
391,llama4,0.715,ADDITIONAL FINDINGS
392,llama4,0.888,MARGIN STATUS FOR NON-INVASIVE TUMOR
393,llama4,0.86,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
394,llama4,0.801,TUMOR SITE
395,llama4,0.822,NODAL SITE(S) EXAMINED
396,llama4,0.798,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
397,llama4,0.648,TNM DESCRIPTORS
398,llama4,0.735,TUMOR FOCALITY
399,llama4,0.728,HISTOLOGIC GRADE
400,llama4,0.815,PROCEDURE
401,llama4,0.78,VISCERAL PLEURA INVASION
402,llama4,0.913,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
403,llama4,0.789,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
404,llama4,0.715,NUMBER OF LYMPH NODES EXAMINED
405,llama4,0.811,TUMOR FOCALITY
406,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
407,llama4,0.8,HISTOLOGIC GRADE
408,llama4,0.874,REGIONAL LYMPH NODE STATUS
409,llama4,0.697,SPECIMEN LATERALITY
410,llama4,0.802,TUMOR SITE
411,llama4,0.8,NODAL SITE(S) EXAMINED
412,llama4,0.788,PROCEDURE
413,llama4,0.862,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
414,llama4,0.742,MARGIN STATUS FOR INVASIVE CARCINOMA
415,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
416,llama4,0.754,NODAL SITE(S) EXAMINED
417,llama4,0.94,MARGIN STATUS FOR NON-INVASIVE TUMOR
418,llama4,0.871,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
419,llama4,0.698,SPECIMEN LATERALITY
420,llama4,0.697,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
421,llama4,0.788,PROCEDURE
422,llama4,0.945,LYMPH NODE(S) FROM PRIOR PROCEDURES
423,llama4,0.811,TUMOR FOCALITY
424,llama4,0.874,REGIONAL LYMPH NODE STATUS
425,llama4,0.755,MARGIN STATUS FOR INVASIVE CARCINOMA
426,llama4,0.904,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
427,llama4,0.778,VISCERAL PLEURA INVASION
428,llama4,0.89,TUMOR SITE
429,llama4,0.713,NUMBER OF LYMPH NODES EXAMINED
430,llama4,0.783,HISTOLOGIC GRADE
431,llama4,0.716,LYMPHOVASCULAR INVASION
432,llama4,0.867,NODAL SITE(S) WITH TUMOR
433,llama4,0.706,LYMPH NODE(S) FROM PRIOR PROCEDURES
434,llama4,0.7,NUMBER OF LYMPH NODES WITH TUMOR
435,llama4,0.797,HISTOLOGIC GRADE
436,llama4,0.803,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
437,llama4,0.754,ADDITIONAL FINDINGS
438,llama4,0.781,REGIONAL LYMPH NODE STATUS
439,llama4,0.778,VISCERAL PLEURA INVASION
440,llama4,0.706,MARGIN STATUS FOR NON-INVASIVE TUMOR
441,llama4,0.896,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
442,llama4,0.838,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
443,llama4,0.801,TUMOR SITE
444,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
445,llama4,0.697,SPECIMEN LATERALITY
446,llama4,0.708,TUMOR FOCALITY
447,llama4,0.74,NODAL SITE(S) EXAMINED
448,llama4,0.733,PROCEDURE
449,llama4,0.698,VISCERAL PLEURA INVASION
450,llama4,0.835,DISTANCE FROM INVASIVE CARCINOMA TO CLOSEST MARGIN
451,llama4,0.774,ADDITIONAL FINDINGS
452,llama4,0.802,CLOSEST MARGIN(S) TO INVASIVE CARCINOMA
453,llama4,0.811,TUMOR FOCALITY
454,llama4,0.883,MARGIN STATUS FOR INVASIVE CARCINOMA
455,llama4,0.837,TOTAL TUMOR SIZE (SIZE OF ENTIRE TUMOR)
456,llama4,0.765,NODAL SITE(S) EXAMINED
457,llama4,0.788,PROCEDURE
